ordinal,id_plataforma,paginas,classe_aderencia,status_banco,assunto,subassunto,item_primario,itens_secundarios,tipo_correspondencia,confianca,texto_completo,cinco_alternativas,caracteristicas,elemento_visual_recuperado,extracao_suficiente,gabarito_origem,resposta_operacional,anulacao_oficial_identificada_no_acervo,conflito_gabarito_detectado_fontes_disponiveis,grupo_duplicata,registro_principal,apta_estudo,potencial_simulado,resultado_recuperacao_v2,motivos
272,4001264286,104,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,D,não,não,,272,sim,sim,,
273,4001264309,"104,105",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,C,não,não,,273,sim,sim,,
274,4001264314,105,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,A,não,não,,274,sim,sim,,
275,4001272021,"105,106",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,C,não,não,,275,sim,sim,,
276,4001335512,106,ADERENTE_DIRETA,ADERENTE_DIRETA,SGBD,"Triggers, eventos e granularidade de disparo",SGBD,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,C,não,não,,276,sim,sim,,
277,4001335515,106,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,A,não,não,,277,sim,sim,,
278,4001336420,"106,107",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,sim,sim,plataforma secundária,E,não,não,,278,sim,sim,RECUPERADA_INTEGRALMENTE,
279,4001346425,107,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,A,não,não,,279,sim,sim,,
280,4001346426,"107,108",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",DML,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,A,não,não,,280,sim,sim,,
281,4001367695,108,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,B,não,não,,281,sim,sim,,
282,4001385872,"108,109",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,282,sim,sim,,
283,4001388602,109,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,283,sim,sim,,
284,4001424166,109,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,284,sim,sim,,
285,4001424563,"109,110",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,C,não,não,,285,sim,sim,,
286,4001424595,110,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,A,não,não,,286,sim,sim,,
287,4001425104,110,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,D,não,não,,287,sim,sim,,
288,4001425105,"110,111",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",DDL,Integridade referencial,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,B,não,não,,288,sim,sim,,
289,4001425107,111,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",DML,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,B,não,não,,289,sim,sim,,
290,4001427984,111,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,D,não,não,,290,sim,sim,,
291,4001427985,"111,112",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,E,não,não,,291,sim,sim,,
292,4001427987,112,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,292,sim,sim,,
293,4001427988,"112,113",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,sim,sim,plataforma secundária,A,não,não,,293,sim,sim,RECUPERADA_INTEGRALMENTE,
294,4001469308,113,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,D,não,não,,294,sim,sim,,
295,4001469310,"113,114",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,295,sim,sim,,
296,4001469312,"114,115",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",DML,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,A,não,não,,296,sim,sim,,
297,4001469315,115,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,E,não,não,,297,sim,sim,,
298,4001469803,115,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,C,não,não,,298,sim,sim,,
299,4001507514,"115,116",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,B,não,não,,299,sim,sim,,
300,4001545919,116,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,300,sim,sim,,
301,4001545924,"116,117",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",DML,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,A,não,não,,301,sim,sim,,
302,4001545926,"117,118",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",Normalização,,direta,alta,sim,sim,"tabela, fórmula",não,sim,plataforma secundária,B,não,não,,302,sim,sim,,
303,4001546468,118,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,C,não,não,,303,sim,sim,,
304,4001626754,118,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,B,não,não,,304,sim,sim,,
305,4001628342,"118,119",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,A,não,não,,305,sim,sim,,
306,4001629070,"119,120",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,A,não,não,,306,sim,sim,,
307,4001629072,120,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,E,não,não,,307,sim,sim,,
308,4001666175,"120,121",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,B,não,não,,308,sim,sim,,
309,4001666385,121,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",DDL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,B,não,não,,309,sim,sim,,
310,4001678590,121,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",DDL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,B,não,não,,310,sim,sim,,
311,4001725057,"121,122",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,B,não,não,,311,sim,sim,,
312,4001725062,122,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,A,não,não,,312,sim,sim,,
313,4001725065,122,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,D,não,não,,313,sim,sim,,
314,4001730185,"122,123",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,314,sim,sim,,
315,4001730187,123,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,315,sim,sim,,
316,4001730188,123,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,A,não,não,,316,sim,sim,,
317,4001730190,"123,124",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,317,sim,sim,,
318,4001730199,124,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,318,sim,sim,RECUPERADA_INTEGRALMENTE,
319,4001747984,124,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,C,não,não,,319,sim,sim,,
320,4001785528,"124,125",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,D,não,não,,320,sim,sim,,
321,4001788715,125,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,E,não,não,,321,sim,sim,,
322,4001849465,"125,126",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,322,sim,sim,RECUPERADA_INTEGRALMENTE,
323,4001870514,126,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",Dados estruturados e não estruturados,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,323,sim,sim,,
324,4001945110,"126,127",ADERENTE_PARCIAL,ADERENTE_PARCIAL,Programação,"Linguagens, frameworks e código de aplicação","Codificação de software transacional, analítico, mobile e API",,parcial,média,sim,sim,tabela,não,sim,plataforma secundária,A,não,não,,324,sim,sim,,
325,4002425832,127,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,325,sim,sim,,
326,4000838603,"127,128",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, diagrama",não,sim,plataforma secundária,D,não,não,,326,sim,sim,,
327,4000998955,128,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, junções, subconsultas e agregações",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,327,sim,sim,,
328,4001573733,"128,129",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,Integridade referencial,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,B,não,não,,328,sim,sim,,
329,4001574584,"129,130",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,A,não,não,,329,sim,sim,,
330,4001574636,130,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,C,não,não,,330,sim,sim,,
331,4001574638,"130,131",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade",Integridade referencial,"Modelagem conceitual, lógica e física",direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,D,não,não,,331,sim,sim,,
332,4001851015,131,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",sim,sim,plataforma secundária,B,não,não,,332,sim,sim,RECUPERADA_INTEGRALMENTE,
333,4001946724,131,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,B,não,não,,333,sim,sim,,
334,4002272926,"131,132",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,E,não,não,,334,sim,sim,,
336,4002111749,132,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,A,não,não,,336,sim,sim,,
337,4000838636,"132,133",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,337,sim,sim,,
338,4001685436,133,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,C,não,não,,338,sim,sim,,
339,4001685464,134,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,A,não,não,,339,sim,sim,,
340,4001685474,"134,135",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,E,não,não,,340,sim,sim,,
341,4001887752,135,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,C,não,não,,341,sim,sim,,
342,4001887771,136,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,A,não,não,,342,sim,sim,,
343,4001887790,"136,137",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,343,sim,sim,,
344,4001888292,"137,138",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,sim,sim,plataforma secundária,E,não,não,,344,sim,sim,RECUPERADA_INTEGRALMENTE,
345,4000824970,"138,139",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,D,não,não,,345,sim,sim,,
346,4000824978,"139,140",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,D,não,não,,346,sim,sim,,
347,4000838616,141,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,D,não,não,,347,sim,sim,,
348,4000991097,"141,142",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",sim,sim,plataforma secundária,B,não,não,,348,sim,sim,RECUPERADA_INTEGRALMENTE,
349,4000991106,"142,143",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,A,não,não,,349,sim,sim,,
350,4000998960,"143,144",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,B,não,não,,350,sim,sim,,
351,4000998971,144,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",Metadados,,direta,alta,sim,sim,"código, SQL, tabela",sim,sim,plataforma secundária,D,não,não,,351,sim,sim,RECUPERADA_INTEGRALMENTE,
352,4000998993,"144,145",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,E,não,não,,352,sim,sim,,
353,4001573718,"145,146",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,C,não,não,,353,sim,sim,,
354,4001573720,"146,147",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,D,não,não,,354,sim,sim,,
355,4001574583,147,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,A,não,não,,355,sim,sim,,
356,4001574585,"147,148",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,D,não,não,,356,sim,sim,,
357,4001574637,148,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,B,não,não,,357,sim,sim,,
358,4001926484,"148,149",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,D,não,não,,358,sim,sim,,
359,4000838628,149,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",DML,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,B,não,não,,359,sim,sim,,
360,4000991087,"149,150",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,C,não,não,,360,sim,sim,,
361,4000999004,"150,151",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",sim,sim,plataforma secundária,D,não,não,,361,sim,sim,RECUPERADA_INTEGRALMENTE,
362,4000838622,151,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",DML,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,E,não,não,,362,sim,sim,,
363,4002424926,152,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,B,não,não,,363,sim,sim,,
364,4002424927,"152,153",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,364,sim,sim,,
365,4001926470,"153,154",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,B,não,não,,365,sim,sim,,
366,4001995528,154,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,SQL,não,sim,plataforma secundária,E,não,não,,366,sim,sim,,
367,4002125535,"154,155",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,B,não,não,,367,sim,sim,,
368,4002432944,155,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,A,não,não,,368,sim,sim,,
369,4002464798,155,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,D,não,não,,369,sim,sim,,
370,4001384426,"155,156",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,A,não,não,,370,sim,sim,,
371,4001469321,156,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,C,não,não,,371,sim,sim,,
373,4000763229,156,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,373,sim,sim,,
374,4001574571,157,ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD",SGBD,,parcial,média,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,374,sim,sim,,
375,4000763040,157,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,E,não,não,,375,sim,sim,,
376,4000763043,157,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,B,não,não,,376,sim,sim,,
377,4000838639,158,ADERENTE_DIRETA,ADERENTE_DIRETA,SGBD,"Triggers, eventos e granularidade de disparo",SGBD,DDL,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,E,não,não,,377,sim,sim,,
378,4000870730,158,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,A,não,não,,378,sim,sim,,
379,4000870735,"158,159",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,C,não,não,,379,sim,sim,,
380,4000870740,159,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,B,não,não,,380,sim,sim,,
381,4000870744,160,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,381,sim,sim,,
382,4001042014,160,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,D,não,não,,382,sim,sim,,
383,4001272011,"160,161",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,383,sim,sim,,
384,4001346411,161,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,D,não,não,,384,sim,sim,,
385,4001346431,161,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,B,não,não,,385,sim,sim,,
386,4001379330,"161,162",ADERENTE_DIRETA,ADERENTE_DIRETA,Estruturas de dados,"Pilhas, árvores, hash e estruturas clássicas",Banco de dados NoSQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,A,não,não,,386,sim,sim,,
387,4001379331,162,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,Abordagem relacional e multidimensional,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,B,não,não,,387,sim,sim,,
388,4001379430,162,ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD",SGBD,,parcial,média,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,388,sim,sim,,
389,4001380980,"162,163",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,389,sim,sim,RECUPERADA_INTEGRALMENTE,
390,4001384432,163,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,B,não,não,,390,sim,sim,,
391,4001384434,"163,164",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,391,sim,sim,,
